name,link_website,city,region,founded_year,category,top_3_keywords,business_model,linkedin_handle,status
DAIKI,dai.ki,Vienna,Vienna,2023,Software & Analytics,"['AI', 'compliance', 'governance']",B2B,daiki-ai,funding
infrared.city,infrared.city,Vienna,Vienna,2023,Software & Analytics,"['intelligent', 'resilient', 'design']",platform,infrared-city,funding
refinq,refinq.com,Vienna,Vienna,2023,Software & Analytics,"['Biodiversity', 'Ecosystems', 'Climate Risk']",B2B,refinq,funding
blue auditor,blueauditor.com,Vienna,Vienna,2017,Software & Analytics,"['sustainability', 'real estate', 'management tool']",B2B,blue-auditor,funding
Necture,necture.com,Vienna,Vienna,2015,Professional Services,"['fleets', 'sustainability', 'solutions']",B2B,necture,funding
SchuBu Systems,schubu.systems,Vienna,Vienna,2020,e-commerce,"['interactive textbook', 'digital lessons', 'teaching material']",B2B,schubuwien,funding
Boolee,boolee.io,Vienna,Vienna,2023,Software & Analytics,"['data analysis', 'SaaS', 'business analysts']",B2B,boolee,funding
Glasskube,glasskube.eu,Vienna,Vienna,2023,Software & Analytics,"['infrastructure', 'automation', 'open source']",B2B,glasskube,funding
silana,wearesilana.com,Vienna,Vienna,2022,Hardware,"['automated', 'fashion', 'production']",B2B,silana,funding
HeldYn,heldyn.com,Vienna,Vienna,2022,Health,"['care', 'therapy', 'healthcare']",B2C,heldyn,funding
Flinn Comply,flinncomply.com,Vienna,Vienna,2022,Health,"['medical device', 'compliance', 'efficiency']",B2B,,funding
NXRT,nxrt.io,Wien,Vienna,2022,Software & Analytics,"['virtual reality', 'mixed reality', 'simulation']",B2B,nxrt,funding
fynk,fynk.com,Vienna,Vienna,2022,Software & Analytics,"['contract', 'management', 'automate']",B2B,fynkcom,funding
Proofcheck,proofcheck.io,Vienna,Vienna,2022,Software & Analytics,"['AI proofreading', 'collaborative workspace', 'content creators']",B2B,proofcheck,funding
Heylog,heylog.com,Vienna,Vienna,2022,Mobility,"['logistics', 'dispatchers', 'communication']",B2B,heylog,funding
HELLO INSIDE,helloinside.com,Vienna,Vienna,2021,Software & Analytics,"['self care', 'data-driven', 'personalized']",B2C,helloinside,funding
Xperience,xperience.social,Vienna,Vienna,2021,Media & Entertainment,"['friends', 'activities', 'platform']",B2C,xperience-app,funding
VIRIDAD,viridad.eu,Vienna,Vienna,2021,Software & Analytics,"['transparency', 'sustainable', 'assessment']",platform,viridad,funding
trive studio,trive.studio,Vienna,Vienna,2021,Software & Analytics,"['startup', 'studio', 'solutions']",B2B,trive-studio,funding
Schrankerl,schrankerl.at,Vienna,Vienna,2021,AgTech/FoodTech,"['catering', 'food delivery', 'office']",B2B,schrankerl,funding
mjuks,mjuks.com,Vienna,Vienna,2021,Health,"['apparel', 'medical', 'professionals']",B2B,mjuks,funding
HeartBeat.bio,heartbeat-bio.eu,Vienna,Vienna,2021,Health,"['drug discovery', 'cardiac organoids', 'heart failure']",B2B,heartbeatbio,funding
imd BIOTECH,imdbiotech.com,Vienna,Vienna,2021,Health,"['biomolecule', 'detection', 'diagnostics']",platform,imd-biotech,funding
PROPUP,propup.at,Vienna,Vienna,2021,Software & Analytics,"['real estate', 'transactions', 'platform']",B2B2C,propup-at,funding
Shopstory,shopstory.ai,Vienna,Vienna,2020,Software & Analytics,"['SaaS', 'eCommerce', 'AI']",B2B,shopstoryai,funding
25superstars,25superstars.com,Vienna,Vienna,2020,Media & Entertainment,"['affordable', 'content creators', 'engaging']",B2B2C,25superstars,funding
Revo Foods,revo-foods.com,Vienna,Vienna,2020,AgTech/FoodTech,"['seafood', '3D Food Printing', 'plant-based']",B2C,revofoods,funding
Helu.io,helu.io,Vienna,Vienna,2020,Software & Analytics,"['financial', 'data', 'reports']",B2B,helu-io,funding
enspired,enspired-trading.com,Vienna,Vienna,2020,Energy,"['AI-driven', 'energy trading', 'self-learning models']",B2B,enspired,funding
HelloBello,hellobello.de,Vienna,Vienna,2020,AgTech/FoodTech,"['dog food', 'customized', 'delivery']",B2C,hello-bello,funding
TradersYard,tradersyard.com,Vienna,Vienna,2020,Professional Services,"['social trading', 'community', 'financial services']",B2C,tradersyard,funding
Proxygen,proxygen.com,Vienna,Vienna,2020,Health,"['drugable', 'technology', 'novel']",B2B,proxygen,funding
Mazing,mazingxr.com,Vienna,Vienna,2020,Software & Analytics,"['3D modelling', 'AR', 'e-commerce']",B2B,mazingxr,funding
Kickscale,kickscale.com,Vienna,Vienna,2020,Software & Analytics,"['playbooks', 'sales teams', 'B2B']",B2B,kickscale,funding
fairesLeben,fairesleben.at,Vienna,Vienna,2020,Software & Analytics,"['law firm', 'tenancy law', 'gambling law']",B2C,fairesleben-abc-gmbh,funding
Digicust,digicust.com,Vienna,Vienna,2020,Software & Analytics,"['AI', 'customs', 'automation']",B2B,digicust,funding
myReha,myreha.ai,Vienna,Vienna,2020,Software & Analytics,"['artificial intelligence', 'neurological research', 'therapy']",B2C,,funding
Froots,froots.io,Vienna,Vienna,2020,FinTech/InsurTech,"['wealth', 'financial', 'goals']",B2C,froots-io,funding
simplify.art,simplify.art,Vienna,Vienna,2020,Software & Analytics,"['art management', 'collection', 'easy']",B2C,simplify-art,funding
Visplore,visplore.com,Vienna,Vienna,2020,Software & Analytics,"['visual analytics', 'data', 'interactive graphics']",B2B,visplore,funding
Inoqo,inoqo.com,Vienna,Vienna,2020,Software & Analytics,"['environmental', 'social responsibility', 'grocery']",B2C,inoqo,funding
Circly,circly.at,Vienna,Vienna,2020,Software & Analytics,"['Machine Learning', 'retail', 'demand forecasting']",B2B,circly,funding
Interactive Paper,interactivepaper.com,Vienna,Vienna,2019,Software & Analytics,"['advertising', 'campaigns', 'customers']",B2B,interactivepaper,funding
zerolens,zerolens.com,Vienna,Vienna,2019,Software & Analytics,"['virtual photo studio', '3D photo studio', 'marketing']",B2B,,funding
MeetFox,meetfox.com,Wien,Vienna,2019,Software & Analytics,"['client meetings', 'scheduling', 'integrated video']",B2B,meetfox,funding
World Data Lab,worlddata.io,Vienna,Vienna,2019,Software & Analytics,"['data', 'forecasting', 'consumer']",B2B,worlddatalab,funding
Brickwise,brickwise.at,Vienna,Vienna,2019,Professional Services,"['real estate', 'investment', 'democratise']",B2C,brickwiseat,funding
Bonrepublic,bonrepublic.com,Vienna,Vienna,2019,Software & Analytics,"['performance', 'recognition', 'management']",B2B,bonrepublic,funding
a:head bio,aheadbio.com,Vienna,Vienna,2019,Health,"['drug discovery', 'cerebral organoids', 'human stem cells']",B2B,aheadbio,funding
Gropyus,gropyus.com,Vienna,Vienna,2019,ConstructionTech/Green Building,"['sustainable', 'buildings', 'construction']",B2B,gropyus,funding
Trackbar,trackbar.com,Vienna,Vienna,2019,Media & Entertainment,"['sensor system', 'digitizes', 'real-time feedback']",B2B,trackbar,funding
SOMAREALITY,somareality.com,Vienna,Vienna,2019,Software & Analytics,"['digital biomarkers', 'eye tracking', 'HMD']",B2B,somareality,funding
Wowflow,wowflow.com,Vienna,Vienna,2019,Software & Analytics,"['solution', 'teams', 'management']",B2B,wowflow,funding
XUND,xund.ai,Vienna,Vienna,2018,Health,"['digital health assistant', 'medical device', 'healthcare services']",B2B,xund,funding
hi.health,hihealth.de,Vienna,Vienna,2018,Health,"['health insurance', 'billing', 'user experience']",B2C,,funding
VitreaLab,vitrealab.com,Vienna,Vienna,2018,Hardware,"['micro-fabrication', 'holographic displays', 'light channels']",B2B,vitrealab-gmbh,funding
CASHY,cashy.at,Vienna,Vienna,2018,Professional Services,"['fintech', 'lending', 'pawn loan']",B2C,,funding
Orderlion,orderlion.com,Vienna,Vienna,2018,AgTech/FoodTech,"['F&B', 'digitise', 'customer relationships']",B2B,orderlion,funding
ImageBiopsy lab,imagebiopsy.com,Vienna,Vienna,2017,Software & Analytics,"['MSK', 'AI', 'platform']",B2B,imagebiopsy-lab,funding
bsurance,bsurance.com,Vienna,Vienna,2017,FinTech/InsurTech,"['insurance', 'B2C', 'digital']",B2B2C,bsurance,funding
Tubics,tubics.com,Vienna,Vienna,2017,Software & Analytics,"['YouTube', 'content', 'platform']",B2B,tubics,funding
WisR,growwisr.com,Vienna,Vienna,2017,Other,"['Demografischen Wandel', 'Belegschaft', 'Ruhestandsalter']",B2B,,funding
Mostly AI,mostly.ai,Vienna,Vienna,2017,Software & Analytics,"['privacy', 'big data', 'applications']",B2B,mostlyai,funding
Allcyte,allcyte.com,Vienna,Vienna,2017,Health,"['personalised medicine', 'drug testing', 'AI-supported']",B2B,,funding
Finmatics,finmatics.com,Vienna,Vienna,2017,Software & Analytics,"['accounting', 'automation', 'software']",B2B,finmaticsgmbh,funding
contextflow,contextflow.com,Vienna,Vienna,2016,Software & Analytics,"['artificial intelligence', 'medical image analysis', 'radiology workflows']",B2B,contextflow,funding
APEX Ventures,apex.ventures,Vienna,Vienna,2016,Software & Analytics,"['venture capital', 'start-ups', 'technology']",B2B,apex-vc,funding
Kivu Technologies,kivu.tech,Vienna,Vienna,2016,Software & Analytics,"['innovation', 'technology', 'security']",B2B,kivu-technologies-gmbh-,funding
Hydrogrid,hydrogrid.eu,Vienna,Vienna,2016,Energy,"['hydropower', 'automated IoT software', 'optimal production planning']",B2B,hydrogrid,funding
Medicus AI,medicus.ai,Vienna,Vienna,2015,Software & Analytics,"['health', 'data', 'technology']",B2B2C,medicusai,funding
ready2order,ready2order.com,Vienna,Vienna,2015,FinTech/InsurTech,"['POS', 'payment', 'solutions']",B2B,ready2order-gmbh,funding
Rendity,rendity.com,Vienna,Vienna,2015,FinTech/InsurTech,"['real estate', 'investments', 'everyone']",B2C,rendity,funding
SurveySensum,surveysensum.com,vienna,Vienna,2018,Software & Analytics,"['customer feedback', 'CX', 'business goals']",B2B,surveysensum,no_funding
WasItAI,wasitai.com,Vienna,Vienna,2024,Software & Analytics,"['images', 'AI', 'origin']",B2B,wasitai,no_funding
IDCanopy,idcanopy.com,Vienna,Vienna,2024,FinTech/InsurTech,"['KYC', 'platform', 'integration']",B2B,idcanopy,no_funding
SpaceXpanse Multiverse,spacexpanse.org,Vienna,Vienna,2022,Software & Analytics,"['blockchain', 'GameFi', 'decentralized']",B2C,,no_funding
PassionClass,passionclass.co,vienna,Vienna,2023,Education,"['learning', 'classes', 'community']",marketplace,passionclass,no_funding
FragDasPDF,fragdaspdf.de,Vienna,Vienna,2023,Software & Analytics,"['AI-powered', 'PDF', 'interactive']",B2C,frag-das-pdf,no_funding
tidalbase,tidalbase.com,Vienna,Vienna,2021,Software & Analytics,"['developers', 'learning', 'platform']",B2C,tidalbase,no_funding
NO/FUZZ Marketing,nofuzzmarketing.com,Vienna,Vienna,2023,Software & Analytics,"['marketing', 'consultancy', 'business']",B2B,,no_funding
Oscar Stories,oscarstories.com,Vienna,Vienna,2023,Software & Analytics,"['bedtime', 'stories', 'AI']",B2C,oscar-stories,no_funding
myCulture,myculture.app,Vienna,Vienna,2022,Media & Entertainment,"['art', 'museums', 'recommendations']",B2B2C,myculture.app,no_funding
FERTILABS,vilavit.com,Vienna,Vienna,2022,Health,"['fertility', 'neutraceuticals', 'pregnancy']",B2C,fertilabs-vilavit,no_funding
Coachfident,coachfident.com,Vienna,Vienna,2022,Professional Services,"['coaching', 'development', 'career']",B2C,coachfident,no_funding
prop.ID,prop.id,Vienna,Vienna,2022,PropTech,"['digitalizes', 'housing', 'meetings']",B2B,propid,no_funding
reebuild,reebuild.com,Vienna,Vienna,2022,ConstructionTech/Green Building,"['building materials', 'procurement', 'construction']",platform,ree-build,no_funding
Simplexx,simplexx.at,Vienna,Vienna,2022,Software & Analytics,"['online marketing', 'web projects', 'SEO']",B2B,simplexx-gmbh,no_funding
Neolime,neolime.io,Vienna,Vienna,2022,Health,"['platform', 'sexual', 'creators']",platform,neolime,no_funding
TUSECA,tuseca.com,vienna,Vienna,2022,PropTech,"['premium', 'co-ownership', 'holiday properties']",B2C,tuseca,no_funding
NOUMEN,noumen.co,Vienna,Vienna,2021,Other,"['wellness', 'men', 'self-care']",B2C,noumen,no_funding
Justmarkt,justmarkt.at,Vienna,Vienna,2021,Mobility,"['delivery', 'service', 'app']",B2C,justmarkt-at,no_funding
etti.co,etti.co,Vienna,Vienna,2021,Software & Analytics,"['no-code', 'AI solutions', 'business growth']",platform,ettico,no_funding
zone14,zone14.ai,Vienna,Vienna,2021,Media & Entertainment,"['AI', 'football', 'statistics']",B2B,zone14,no_funding
Vloor,vloor.com,Vienna,Vienna,2021,PropTech,"['real estate', 'software', 'deep learning']",B2B,vloor,no_funding
notarity,notarity.com,Vienna,Vienna,2021,Software & Analytics,"['notary', 'digital', 'platform']",platform,notarity,no_funding
Miracl,miracl.at,Vienna,Vienna,2021,Professional Services,"['financial service', 'credit comparison', 'home-buying']",B2C,miracl1,no_funding
Delphi Data Labs,delphidata.io,Vienna,Vienna,2021,Software & Analytics,"['data science', 'cleantech', 'market intelligence']",B2B,delphidata,no_funding
CellEctric Biosciences,cellectric-biosciences.com,Vienna,Vienna,2021,Health,"['electrodynamics', 'biotechnology', 'cell manipulation']",B2B,cellectric-biosciences,no_funding
captic.io,captic.io,Vienna,Vienna,2021,Professional Services,"['metaverse', 'platform', 'businesses']",B2B,captic-io,no_funding
Auvaria,auvaria.com,Vienna,Vienna,2021,Professional Services,"['cloud', 'AWS', 'consulting']",B2B,auvaria,no_funding
CamBuildr,cambuildr.com,Vienna,Vienna,2021,Software & Analytics,"['movement', 'campaigns', 'solution']",B2B,cambuildr,no_funding
CyberACI,cyberaci.com,Vienna,Vienna,2021,Professional Services,"['cybersecurity', 'networks', 'hackers']",B2B,cyberaci,no_funding
FUA Investment Club,fuainvestments.com,Vienna,Vienna,2021,FinTech/InsurTech,"['investment', 'network', 'portfolio']",B2C,fua-investment-club,no_funding
Algonist Biotechnologies,algonist.com,Vienna,Vienna,2020,Health,"['biotechnology', 'chronic pain', 'therapeutics']",B2B,algonist-biotechnologies,no_funding
Gamble-Verluste TS,gamble-verluste.at,Vienna,Vienna,2020,Media & Entertainment,"['Prozessfinanzierer', 'Rückforderung', 'Online-Casinos']",B2C,,no_funding
TRUENDO Technologies,truendo.com,Wien,Vienna,2020,Software & Analytics,"['compliance', 'privacy', 'solutions']",B2B,truendo,no_funding
Ordito,ordito.at,Vienna,Vienna,2020,Software & Analytics,"['Machine Learning', 'retail', 'demand forecasting']",B2B,ordito,no_funding
Tech2impact,tech2impact.com,Vienna,Vienna,2020,Professional Services,"['impact tech', 'fundraising', 'network']",B2B,tech2impact,no_funding
Splitbee,splitbee.io,Vienna,Vienna,2020,Software & Analytics,"['analytics', 'conversion', 'optimize']",B2B,splitbee,no_funding
Posedio,posedio.com,Vienna,Vienna,2020,Professional Services,"['cloud', 'design', 'implementation']",B2B,posedio,no_funding
nista.io,nista.io,Vienna,Vienna,2020,Software & Analytics,"['real estate', 'classifieds', 'buying']",B2C,nistaio,no_funding
Nexyo,nexyo.io,Vienna,Vienna,2020,Software & Analytics,"['data', 'sharing', 'ecosystem']",B2B,nexyogmbh,no_funding
Marswalk,marswalk.media,Atzgersdorf,Vienna,2020,Professional Services,"['viral ad campaigns', 'TikTok', 'brand awareness']",B2B,marswalk,no_funding
Instigo,instigo.io,Vienna,Vienna,2020,Software & Analytics,"['digital marketing', 'AI modules', 'social media advertising']",B2B,instigoio,no_funding
influData,infludata.com,Vienna,Vienna,2020,Professional Services,"['influencers', 'analysis', 'audiences']",B2B,infludata,no_funding
Gurkerl.at,gurkerl.at,Vienna,Vienna,2020,Software & Analytics,"['grocery', 'fresh', 'online']",B2C,gurkerl,no_funding
Competenz Lab,competenzlab.io,Vienna,Vienna,2020,Education,"['AI', 'CV', 'career']",B2C,competenz-lab,no_funding
Cipacto,cipacto.com,Vienna,Vienna,2020,Hardware,"['digitisation', 'diesel', 'solution']",B2B,cipacto,no_funding
Digital Schneiderei,digital-schneiderei.at,Vienna,Vienna,2020,Software & Analytics,"['customized', 'social media', 'SEO']",B2B,,no_funding
Bank99,bank99.at,Vienna,Vienna,2020,Professional Services,"['digital bank', 'current accounts', 'savings']",B2C,bank99,no_funding
Streemfire,streemfire.com,Vienna,Vienna,2020,Software & Analytics,"['independent', 'content', 'TV']",B2C,streemfiretv,no_funding
Jobchain,jobchain.com,Vienna,Vienna,2020,FinTech/InsurTech,"['fintech', 'platform', 'recruitment']",B2B2C,jobchainofficial,no_funding
Repeato,repeato.app,Vienna,Vienna,2020,Software & Analytics,"['test automation', 'computer vision', 'machine learning']",B2B,repeato,no_funding
Calm/Storm Ventures,calmstorm.vc,Vienna,Vienna,2020,Health,"['founders', 'venture capital', 'entrepreneurship']",B2B,,no_funding
Vollville,vollville.com,Vienna,Vienna,2020,Software & Analytics,"['empower', 'transformation', 'customers']",B2B,vollville,no_funding
WeDress Collective,wedresscollective.com,Vienna,Vienna,2020,Other,"['wardrobe', 'sharing', 'sustainability']",B2C,wedress-collective,no_funding
Asigmo,asigmo.com,Vienna,Vienna,2020,Software & Analytics,"['data science', 'fellowship', 'career']",B2B2C,asigmo-data-science,no_funding
Sophia Advisory,hallosophia.com,Vienna,Vienna,2020,FinTech/InsurTech,"['marketplace', 'advice', 'experts']",marketplace,sophiaadvisory,no_funding
Sparcs,sparcs.app,Vienna,Vienna,2020,Media & Entertainment,"['social network', 'healthy', 'lifestyle']",B2C,sparcsapp,no_funding
LawStar,lawstar.at,Vienna,Vienna,2020,Education,"['legal expertise', 'learning platform', 'community']",B2C,lawstar,no_funding
TeleDoc,myteledoc.app,Vienna,Vienna,2020,Health,"['telemedicine', 'consultation', 'online']",B2C,teledoc-holding-gmbh,no_funding
Smart Inspection,smartinspection.eu,Vienna,Vienna,2020,Software & Analytics,"['drones', 'inspection', 'maintenance']",B2B,smartinspection,no_funding
kontractory,kontractory.com,Vienna,Vienna,2020,Software & Analytics,"['legal tech', 'contract software', 'service']",B2B,kontractory-by-dwp,no_funding
Glacier,glacier.eco,Vienna,Vienna,2020,Professional Services,"['climate', 'action', 'community']",B2B,,no_funding
Gateway Labs,gatewaylabs.co,Vienna,Vienna,2020,Software & Analytics,"['product', 'users', 'impact']",B2B,gatewaylabs,no_funding
VARS,vars.at,Vienna,Vienna,2019,Software & Analytics,"['Extended Realities', 'XR experiences', 'immersive technologies']",B2B,vars-vienna,no_funding
Localrydes,localrydes.com,Wien,Vienna,2019,FinTech/InsurTech,"['marketplace', 'taxi', 'reservation']",marketplace,localrydes,no_funding
VisualSearch,visualsearch.at,Vienna,Vienna,2019,Professional Services,"['digital platform', 'recommendation', 'shopping experience']",B2B,visualsearch-gmbh,no_funding
VIPASO,vipaso.io,Vienna,Vienna,2019,FinTech/InsurTech,"['mobile payments', 'payment solutions', 'Vienna']",B2B,vipaso-payments,no_funding
Viesure Innovation Center,viesure.io,Vienna,Vienna,2019,Professional Services,"['insurance', 'customer-centric', 'solutions']",B2B,viesure,no_funding
vibe moves you,vibemovesyou.com,Vienna,Vienna,2019,Software & Analytics,"['mobility', 'electric', 'models']",B2C,vibemovesyou,no_funding
